# Observer      : 1
# Position      : (2.20000000e-01 1.50000000e-01 -1.00000000e-02)
# Time          	p(Curle)        
106.77          3.26205494e-07
106.78          3.24909573e-07
106.79          3.23628182e-07
106.8           3.22318686e-07
106.81          3.21039019e-07
106.82          3.19775832e-07
106.83          3.18518623e-07
106.84          3.17234611e-07
106.85          3.15961946e-07
106.86          3.14694441e-07
106.87          3.13423151e-07
106.88          3.12159256e-07
106.89          3.10872313e-07
106.9           3.09612392e-07
106.91          3.08347097e-07
106.92          3.07069324e-07
106.93          3.05849937e-07
106.94          3.04614405e-07
106.95          3.03377589e-07
106.96          3.02135487e-07
106.97          3.00896412e-07
106.98          2.99649463e-07
106.99          2.98393737e-07
107             2.97124473e-07
107.01          2.95911352e-07
107.02          2.94719990e-07
107.03          2.93492149e-07
107.04          2.92263843e-07
107.05          2.91066952e-07
107.06          2.89868688e-07
107.07          2.88628810e-07
107.08          2.87429640e-07
107.09          2.86209798e-07
107.1           2.85038891e-07
107.11          2.83846659e-07
107.12          2.82667301e-07
107.13          2.81458171e-07
107.14          2.80297131e-07
107.15          2.79125311e-07
107.16          2.77913210e-07
107.17          2.76737760e-07
107.18          2.75609662e-07
107.19          2.74444415e-07
107.2           2.73320673e-07
107.21          2.72149454e-07
107.22          2.70993101e-07
107.23          2.69843463e-07
107.24          2.68724819e-07
107.25          2.67527871e-07
107.26          2.66410190e-07
107.27          2.65284789e-07
107.28          2.64135192e-07
107.29          2.63080689e-07
107.3           2.62010623e-07
107.31          2.60896717e-07
107.32          2.59801820e-07
107.33          2.58722689e-07
107.34          2.57589968e-07
107.35          2.56507604e-07
107.36          2.55434401e-07
107.37          2.54364891e-07
107.38          2.53304818e-07
107.39          2.52239116e-07
107.4           2.51194844e-07
107.41          2.50162071e-07
107.42          2.49104271e-07
107.43          2.48061133e-07
107.44          2.47019187e-07
107.45          2.45985053e-07
107.46          2.44972900e-07
107.47          2.44000504e-07
107.48          2.42973071e-07
107.49          2.41966918e-07
107.5           2.40947500e-07
107.51          2.39973494e-07
107.52          2.39001827e-07
107.53          2.38022573e-07
107.54          2.37047837e-07
107.55          2.36090214e-07
107.56          2.35139758e-07
107.57          2.34158697e-07
107.58          2.33235656e-07
107.59          2.32305115e-07
107.6           2.31376342e-07
107.61          2.30436726e-07
107.62          2.29498762e-07
107.63          2.28590743e-07
107.64          2.27718705e-07
107.65          2.26843851e-07
107.66          2.25937159e-07
107.67          2.25060470e-07
107.68          2.24205827e-07
107.69          2.23309346e-07
107.7           2.22421224e-07
107.71          2.21557458e-07
107.72          2.20700373e-07
107.73          2.19879270e-07
107.74          2.19061696e-07
107.75          2.18216823e-07
107.76          2.17440732e-07
107.77          2.16651121e-07
107.78          2.15830564e-07
107.79          2.15009406e-07
107.8           2.14232168e-07
107.81          2.13449599e-07
107.82          2.12683190e-07
107.83          2.11924729e-07
107.84          2.11148359e-07
107.85          2.10442255e-07
107.86          2.09705820e-07
107.87          2.08959687e-07
107.88          2.08218782e-07
107.89          2.07507976e-07
107.9           2.06759785e-07
107.91          2.06108443e-07
107.92          2.05424853e-07
107.93          2.04739793e-07
107.94          2.04041770e-07
107.95          2.03426255e-07
107.96          2.02741021e-07
107.97          2.02095188e-07
107.98          2.01429597e-07
107.99          2.00793328e-07
108             2.00180129e-07
108.01          1.99570107e-07
108.02          1.98989073e-07
108.03          1.98360712e-07
108.04          1.97778500e-07
108.05          1.97181328e-07
108.06          1.96613998e-07
108.07          1.96040320e-07
108.08          1.95518410e-07
108.09          1.94980844e-07
108.1           1.94417864e-07
108.11          1.93895573e-07
108.12          1.93387744e-07
108.13          1.92850825e-07
